ID,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1yqj,1,272,0,1,0,11,21,50,0,1,0,5,1,10,109,122,-11.24582559
1mhw,13,337,5,2,0,8,93,29,0,1,0,21,0,21,38,190,-10.15440026
1r5y,10,230,4,0,10,13,18,22,0,1,0,2,0,49,95,55,-8.92481982
1g54,9,230,3,1,1,0,20,13,0,0,1,5,0,43,44,131,-12.18528031
1g53,8,221,3,1,0,0,19,17,0,0,0,5,0,25,46,139,-12.48922154
1g52,8,232,3,1,0,0,20,24,0,0,0,5,0,25,58,137,-13.17999707
1v48,15,331,2,7,0,32,5,16,0,2,0,7,2,0,108,201,-10.77609824
1yqy,12,256,3,3,4,19,12,22,1,1,0,6,2,80,19,134,-10.52741905
1kc7,10,158,0,8,13,9,3,8,0,0,0,3,4,44,82,17,-7.626161828
1d7i,3,63,0,1,0,0,6,8,0,0,0,2,0,13,15,32,-4.973583801
1ogg,10,279,3,4,8,0,15,23,0,0,0,16,0,10,149,107,-7.17024998
1pgp,19,265,1,12,1,2,8,3,0,0,0,11,5,139,15,119,-7.874841018
1yc1,15,291,2,2,15,11,0,28,0,0,0,6,2,163,98,19,-8.524170014
2j2u,3,195,0,1,0,37,30,37,0,0,0,5,0,0,65,66,-10.12676924
1a9m,20,440,5,4,0,27,44,37,0,0,0,20,0,0,167,222,-9.560333306
1hii,7,336,4,4,0,19,47,42,0,0,0,16,2,0,104,173,-10.05769169
1yc4,7,237,2,1,15,7,0,28,0,0,0,5,0,115,100,7,-9.049159416
1pu8,3,149,2,1,1,0,2,29,0,4,2,0,0,83,0,66,-4.282808273
1hn2,1,156,0,0,0,3,0,19,1,2,4,1,0,0,140,14,-8.289306335
2er6,25,458,9,3,0,27,69,42,0,0,0,30,3,17,150,220,-9.974798623
1ez9,12,225,6,2,0,0,3,37,0,0,0,29,0,64,24,146,-7.045910385
2aoc,23,471,8,4,0,43,51,35,0,0,0,30,2,0,162,238,-6.755784663
2hu6,3,192,1,2,3,6,43,31,1,1,0,5,0,50,23,70,-5.263709523
2aog,26,474,9,5,0,52,69,29,0,0,0,30,2,0,188,191,-8.67614063
1j14,8,167,4,0,0,9,60,18,0,0,0,2,0,0,29,77,-6.203164241
1ik4,19,235,1,10,10,10,13,2,0,0,0,4,3,98,79,44,-10.23729332
830c,9,235,2,1,11,19,26,30,2,0,0,7,1,88,40,60,-12.8207938
2ca8,17,229,3,7,7,18,7,14,0,0,0,11,4,21,40,153,-6.43802792
1mh5,8,288,1,5,0,0,11,60,0,1,0,14,2,0,225,60,-12.72408522
1str,14,356,2,7,0,10,1,27,0,0,1,22,0,0,250,109,-6.589998536
1sts,17,470,6,5,0,4,24,42,0,0,1,26,0,0,282,177,-6.907755279
1qhc,21,409,3,10,1,31,0,17,0,1,0,16,8,92,191,115,-10.45834149
1f9g,5,136,1,2,1,0,0,10,0,0,0,6,0,80,0,60,-1.768385351
1w4o,13,223,2,7,0,29,4,9,0,0,0,6,4,49,124,30,-7.211696511
1stc,4,340,2,1,0,21,22,45,0,0,1,4,1,3,197,101,-11.19056355
1v2r,11,287,5,2,0,15,95,24,1,0,0,11,0,0,29,159,-4.904506248
2evl,9,353,4,4,4,0,0,61,0,0,0,38,0,280,0,78,-9.256392074
1vyf,7,183,0,7,2,0,1,23,0,0,0,15,2,42,106,39,-11.121486
1vyg,5,242,0,5,5,1,0,37,0,0,0,14,2,42,151,48,-11.05240845
1upf,4,127,0,2,3,0,12,19,0,1,0,0,0,9,0,107,-6.355134857
1uou,6,209,2,2,7,32,0,13,0,0,1,2,0,111,62,3,-10.63794313
1caq,7,251,1,2,4,17,29,33,4,3,2,8,4,63,63,82,-10.66557415
1o36,1,10,0,0,0,0,4,0,0,0,0,9,0,0,0,7,-8.234044293
1i9m,8,207,2,2,0,0,11,14,1,0,1,5,0,19,73,112,-11.71555295
1i9l,10,225,3,1,0,0,20,24,0,0,0,5,0,16,55,144,-11.71555295
1i9o,9,230,2,1,0,0,16,16,0,0,0,5,0,22,53,148,-11.63265989
1i9n,10,210,3,1,0,0,19,20,0,0,0,5,0,13,45,143,-11.96423214
1i9q,10,230,3,1,0,0,20,17,0,0,0,5,0,21,53,146,-11.61884438
1i9p,8,187,3,1,0,0,19,12,0,0,0,5,0,14,43,119,-11.61884438
1wm1,3,147,1,2,1,0,17,14,0,0,0,3,2,72,0,60,-8.703771652
1hnn,6,199,2,1,9,0,1,30,2,1,0,2,2,95,38,62,-8.620878588
1hi5,11,200,0,6,0,17,7,9,0,0,0,9,5,29,95,63,-5.581466265
1a94,23,518,10,7,0,48,48,31,0,0,0,29,2,0,171,274,-10.84517579
1ikt,3,236,0,1,15,0,0,43,0,0,0,13,0,183,41,0,-4.69727359
1c70,8,425,4,2,0,13,50,53,0,0,0,14,2,0,98,272,-14.22997587
2mas,17,250,3,2,0,0,9,14,1,0,1,6,3,52,16,190,-10.38926394
1dmp,10,397,2,6,0,7,51,50,0,0,0,12,2,0,125,224,-13.19381258
2h4n,6,145,2,1,0,1,10,4,0,0,0,3,1,11,51,78,-12.01949419
1oe8,16,207,3,6,12,17,4,8,0,0,0,11,4,38,26,126,-7.626161828
1mq5,3,248,0,1,0,46,27,50,3,1,0,6,0,0,86,92,-12.4339595
1m5w,15,214,1,8,0,8,12,6,0,0,0,7,4,16,102,91,-5.899223008
1wvj,17,280,2,7,6,30,3,24,1,0,0,4,2,79,123,56,-9.297838606
1gah,23,374,11,5,0,0,57,33,0,0,0,22,1,59,42,239,-16.57861267
1t32,7,302,0,3,2,15,14,47,1,2,0,7,2,25,55,198,-10.25110883
1ui0,8,124,1,2,0,7,20,9,0,1,0,0,0,8,54,43,-9.753750454
1t31,8,291,0,5,0,18,24,42,1,1,0,7,3,0,66,191,-11.93660112
1wvc,17,327,1,10,0,6,66,13,0,0,0,11,10,50,27,195,-6.161717709
1tng,5,112,2,0,0,7,37,8,0,0,0,2,1,0,14,59,-4.047944594
1tnl,7,123,4,0,0,7,49,8,0,0,0,2,1,1,10,63,-2.597315985
1rej,10,334,2,3,0,34,26,35,0,0,0,7,2,0,216,68,-11.46687376
1rek,10,441,3,3,1,37,25,50,0,0,0,12,2,28,281,79,-9.256392074
1tnk,7,126,3,0,0,11,49,11,0,0,0,4,1,2,12,59,-2.058511073
1igj,3,207,1,0,0,0,16,25,0,0,0,7,0,0,114,80,-13.81551056
1c87,16,217,0,11,10,1,6,18,0,1,0,3,2,51,16,149,-5.802514434
1gu1,16,204,4,6,0,4,23,10,0,0,0,4,0,5,53,135,-6.244610772
2ivu,3,308,0,1,0,22,6,34,0,0,0,6,0,8,256,19,-8.883373289
1utn,6,118,3,0,0,4,46,13,0,0,0,2,1,0,11,63,-4.821613185
1gi8,14,231,5,2,0,14,62,18,1,0,1,4,0,0,37,132,-6.976832832
2cht,13,205,1,8,10,12,1,15,0,0,0,3,3,31,114,50,-7.626161828
1njj,16,186,5,0,0,2,0,11,0,0,0,15,2,0,78,122,-2.901257217
2f35,16,238,3,8,13,23,3,17,1,0,0,7,1,68,117,30,-7.460375701
1kll,5,172,2,0,0,0,0,25,2,2,0,8,1,34,142,1,-7.18406549
1utl,4,121,3,0,0,6,40,11,0,0,0,4,1,0,13,66,-3.412431108
1a7x,7,314,2,3,0,0,39,43,0,0,0,14,0,13,83,186,-13.40104524
1utm,6,113,3,0,0,5,34,7,0,0,0,3,1,0,12,68,-4.158468678
1fm9,4,400,0,3,21,2,2,72,0,1,1,12,2,278,62,39,-12.4339595
5abp,19,226,5,4,0,0,3,12,0,0,0,6,0,78,3,161,-9.173499011
1b8n,15,361,5,2,0,40,11,25,0,0,1,6,0,42,110,173,-14.53391711
1qan,17,351,4,5,1,17,50,21,0,0,0,11,0,53,73,174,-6.18934873
1qft,8,163,4,0,0,0,0,17,0,0,0,3,3,0,85,86,-12.11620276
1o2h,11,294,6,0,0,15,86,25,0,0,0,6,0,3,24,177,-9.90572107
1b8y,6,198,0,1,5,15,28,26,3,1,0,6,4,58,25,73,-10.84517579
1sqt,8,220,4,0,0,18,59,13,0,0,0,5,0,0,25,126,-8.565616546
2fw6,18,221,0,11,3,8,32,8,0,0,0,6,2,26,19,151,-4.034129083
1ws5,7,154,3,2,0,18,16,18,0,0,0,6,0,0,75,52,-4.186099699
1eld,7,267,3,1,0,39,21,21,0,0,0,9,0,0,98,116,-9.256392074
1ele,9,294,3,1,0,49,19,15,0,0,0,8,0,0,113,122,-9.463624732
1elc,5,209,0,0,0,8,32,28,0,0,0,14,1,0,49,125,-9.201130032
5yas,4,176,2,1,0,6,2,0,0,0,0,4,0,4,71,97,-4.503856442
1ws4,8,137,2,1,0,16,13,15,0,0,0,6,0,0,65,51,-4.144653167
2dw7,14,171,1,4,0,0,0,4,0,0,0,5,7,0,116,69,-6.493289962
1br6,12,302,4,5,10,27,5,22,0,2,0,6,1,126,106,40,-4.4485944
1tx7,9,198,4,2,0,13,66,14,0,0,0,3,1,0,31,97,-6.355134857
1sqo,8,206,5,0,0,16,56,11,0,0,0,4,0,0,26,116,-10.30637088
1sqn,2,192,0,1,10,0,3,28,0,0,0,1,0,156,0,25,-12.98657992
1elr,17,261,2,10,3,0,0,27,0,0,0,22,3,275,0,0,-6.852493237
2fpz,5,164,3,1,0,14,63,14,0,0,0,1,0,5,16,71,-5.470942181
1n3i,11,276,5,3,1,35,0,24,0,0,1,5,0,41,99,111,-12.28198889
1hmr,6,186,0,4,2,6,0,23,0,0,0,16,2,32,114,38,-9.049159416
1hms,5,186,0,4,0,6,5,23,0,0,0,15,2,33,106,41,-8.800480225
1hmt,5,199,0,4,1,8,1,24,0,0,0,16,2,33,123,38,-7.999180613
1g1d,8,220,3,1,0,0,20,20,0,0,0,5,0,20,54,134,-13.04184197
1fjs,11,285,3,3,0,8,66,35,1,0,1,11,0,7,23,192,-13.76024852
1ppc,15,269,5,2,0,50,53,29,0,0,0,10,0,0,71,110,-8.510354504
1ce5,7,175,4,0,0,10,64,19,0,0,0,2,0,0,30,78,-6.548552005
1v1j,15,210,3,6,0,4,22,10,0,0,0,4,0,8,48,143,-6.659076089
1o3d,9,270,5,0,0,14,81,30,1,0,1,5,0,1,25,158,-9.850459028
1l83,0,103,0,0,6,0,0,24,0,0,0,0,0,91,0,6,-4.69727359
1yds,5,235,2,1,0,11,14,27,0,0,0,5,2,0,137,78,-8.17878225
1tsl,4,125,1,0,0,10,7,21,0,1,1,4,0,70,14,28,-8.496538993
1o3j,13,246,3,0,0,12,72,24,0,0,0,4,0,0,31,144,-9.353100648
2byr,1,245,0,1,0,2,18,51,0,0,0,12,0,0,113,113,-11.81226153
1okl,8,175,1,2,0,0,9,16,1,0,0,3,0,8,89,77,-8.330752867
2c97,12,207,1,7,0,16,27,12,0,2,0,6,1,49,20,107,-8.482723483
2c94,19,404,4,8,4,34,34,31,0,4,0,15,1,109,48,194,-9.422178201
2c92,21,397,4,10,2,36,41,26,0,4,0,16,1,90,55,194,-7.847209997
1fcy,8,302,0,3,20,6,5,48,0,0,1,3,1,222,26,31,-11.770815
1y1z,0,14,0,0,0,0,0,4,0,0,0,2,0,7,6,1,-4.255177252
1f5l,11,249,4,0,0,55,55,12,0,0,0,3,1,0,103,47,-7.294589575
1yid,21,285,3,8,9,34,6,11,1,0,0,11,7,54,75,128,-6.907755279
1o30,15,262,5,1,0,13,65,16,1,0,1,9,0,0,30,169,-9.353100648
1o33,11,236,3,0,0,13,72,19,0,0,1,4,0,0,31,131,-7.93010306
1m2x,6,84,0,1,0,0,5,15,0,0,0,4,3,1,0,84,-5.733436882
1owh,12,225,5,1,0,17,52,19,0,0,0,7,1,0,34,134,-10.22347781
1i5r,14,529,2,6,0,3,79,54,0,0,0,18,0,120,20,321,-11.770815
1owe,9,215,4,1,0,15,55,26,1,0,0,4,0,0,30,124,-8.565616546
1o38,11,277,3,0,0,14,82,35,1,0,1,8,0,1,27,164,-9.422178201
1m2p,2,229,0,2,0,4,11,33,0,0,0,3,0,2,122,92,-8.441276951
1m2r,8,304,1,1,0,25,4,30,0,0,0,4,0,0,261,22,-8.92481982
1fj4,2,153,0,2,1,8,19,28,0,0,0,3,0,6,26,95,-6.341319346
1njc,13,239,3,8,2,9,0,7,0,0,0,6,4,19,112,110,-7.66760836
6tim,14,208,2,8,0,30,26,4,0,0,0,6,1,0,66,100,-4.434778889
1pot,13,251,5,0,0,1,26,38,4,0,0,9,4,22,112,103,-7.584715296
1grp,14,135,0,8,0,0,0,1,0,0,0,6,8,52,54,43,-5.139369928
1njd,17,255,3,10,1,9,0,6,0,0,0,5,4,19,95,148,-7.695239381
1k22,3,97,1,1,0,0,37,3,0,0,0,9,1,0,0,63,-11.60502887
1ceb,10,118,2,5,0,0,1,18,0,0,0,3,4,0,57,70,-8.289306335
1cea,8,131,2,3,0,0,0,22,0,0,0,6,3,0,74,65,-6.852493237
1k21,13,265,5,3,0,57,55,20,0,0,0,11,1,0,75,91,-11.57739785
1utj,6,110,3,0,0,2,46,11,0,0,0,2,1,0,11,57,-5.305156054
4er1,9,335,4,2,0,3,49,42,0,0,0,22,0,0,122,170,-9.145867989
2f7p,14,185,3,0,0,0,6,22,0,0,0,7,3,7,1,185,-9.118236968
1erb,3,217,0,0,0,7,9,41,0,0,0,6,0,0,126,78,-11.19056355
1jfh,6,162,3,1,0,0,19,10,0,0,0,12,0,0,0,149,-2.832179664
1adl,3,174,0,2,4,0,8,28,0,0,0,14,1,41,99,25,-7.405113659
1izh,16,414,6,3,0,35,55,42,0,0,0,21,0,0,155,185,-10.63794313
1mu8,5,285,2,1,0,61,21,45,0,0,0,8,0,0,81,127,-12.4339595
1r6n,4,207,0,3,0,0,16,36,0,2,0,5,0,64,0,131,-10.22347781
2bza,6,117,3,0,0,2,48,13,0,0,0,2,1,0,12,61,-3.868342956
1ucn,16,282,2,7,0,2,10,28,0,4,0,9,2,103,39,144,-7.211696511
1xd0,19,383,7,4,0,0,25,17,0,0,0,28,2,33,67,277,-9.836643517
1c4u,8,305,4,1,0,14,58,29,0,0,0,9,0,0,27,214,-14.32668445
2f7o,12,181,4,0,0,0,4,21,0,0,0,5,3,7,0,182,-10.27873986
1mu6,4,268,2,1,0,49,21,40,0,1,0,8,0,0,70,132,-11.57739785
1ghy,19,264,4,0,0,12,68,26,0,1,0,4,0,0,37,166,-11.19056355
1ghz,9,237,4,0,0,12,70,19,0,0,0,4,0,0,31,133,-6.631445068
1hvr,7,425,2,2,0,11,43,57,0,0,0,10,0,0,139,239,-13.13855054
1mrx,6,336,3,1,0,11,54,35,0,0,0,10,0,0,111,166,-10.03006067
2iuz,3,207,0,3,0,0,5,51,0,11,0,3,0,5,59,141,-7.66760836
1mrw,7,337,3,1,0,15,50,31,0,0,0,10,0,0,116,163,-13.40104524
1pme,3,255,0,2,0,26,2,27,0,0,0,4,0,1,187,42,-12.98657992
1ghv,10,223,3,1,0,10,60,25,1,3,0,4,0,0,39,124,-6.009747093
1ghw,9,236,3,0,0,35,45,31,0,1,0,4,0,0,58,107,-5.802514434
1mrn,17,453,2,8,11,2,4,42,2,2,0,20,8,267,42,144,-6.244610772
1nvs,3,267,1,1,0,18,13,27,0,0,0,2,0,1,183,55,-10.80372926
2bqv,8,400,1,4,0,24,37,44,0,0,0,15,0,0,121,226,-11.121486
1hvi,12,444,4,2,0,24,59,57,2,0,0,21,0,0,106,267,-15.08653753
1hvh,10,386,5,1,0,25,37,44,0,0,0,15,0,0,144,190,-10.9971464
1hvk,14,458,6,2,0,23,61,53,2,0,0,21,0,0,111,277,-15.14179957
1hvj,11,426,4,2,0,21,67,66,1,0,0,20,0,0,87,262,-15.74968204
1hvl,12,412,6,2,0,20,54,51,2,0,0,21,0,0,87,263,-13.74643301
1h22,10,285,2,3,10,9,37,55,4,2,0,13,0,62,4,173,-12.57211461
1oar,2,250,0,1,0,0,1,60,0,9,0,3,0,0,236,15,-10.22347781
1hvs,12,431,5,3,0,28,71,55,1,0,0,21,0,0,109,235,-14.22997587
1pbk,9,260,3,3,0,0,33,24,0,0,0,9,0,10,89,137,-12.50303706
2gst,19,362,4,7,5,17,11,38,0,0,1,13,3,78,86,184,-8.386014909
2gsu,13,267,3,3,2,0,14,24,0,2,2,7,4,90,25,149,-4.95976829
220l,0,92,0,0,1,0,0,23,0,0,0,0,0,91,0,0,-4.69727359
1owd,9,242,4,1,0,19,55,27,1,1,0,5,1,0,37,140,-11.32871866
1vjj,15,282,2,7,0,37,2,9,0,0,0,9,5,0,185,73,-7.971549592
1d3d,1,296,1,0,0,28,28,70,2,0,1,10,1,0,78,163,-12.5582991
2j7h,20,185,7,2,0,0,0,16,4,0,0,9,5,0,92,113,-9.933352091
1qbn,12,285,6,2,0,10,83,32,0,0,0,9,0,0,29,175,-8.082073676
1qbo,11,293,6,0,0,11,100,37,0,0,0,8,0,0,35,158,-10.69320517
1vjc,12,290,3,2,10,25,27,18,0,0,0,11,4,50,43,147,-4.94595278
2iko,9,257,4,0,0,0,31,24,0,0,0,7,2,0,90,145,-7.529453254
1vja,19,322,7,2,0,23,91,19,1,0,0,15,0,0,47,180,-10.63794313
2j7f,9,218,5,5,0,2,0,14,0,1,0,6,0,0,112,113,-8.772849204
1vjd,22,370,2,6,13,38,36,13,0,0,0,11,4,79,72,154,-4.890690738
1w6y,6,152,1,1,2,0,0,16,0,0,0,1,0,40,116,0,-7.405113659
2bq7,1,182,0,1,0,23,25,35,2,0,0,6,0,0,60,75,-9.739934943
1sc8,14,301,5,3,0,31,86,14,0,0,0,13,0,0,53,145,-10.27873986
1d3p,3,324,2,0,0,29,29,80,2,1,1,12,0,0,83,186,-10.2096623
1usn,8,187,1,2,0,24,3,28,1,1,0,5,0,24,76,68,-10.69320517
1h2t,20,538,5,9,0,14,28,58,0,4,0,18,1,3,151,362,-10.90043783
1qbr,12,454,4,6,0,33,48,57,0,0,0,14,0,0,183,202,-14.60299466
1qbs,10,391,3,5,0,22,47,57,0,0,0,14,0,0,141,191,-13.0832885
1qbt,16,526,5,6,0,39,51,63,0,0,0,14,0,0,244,208,-14.67207221
1qbu,8,359,3,4,0,17,41,48,0,0,0,12,0,0,130,179,-14.14708281
1qbv,6,261,2,1,0,73,16,42,0,0,0,9,0,0,76,102,-7.446560191
1g2o,11,292,4,2,0,42,0,23,0,0,1,5,0,51,110,100,-14.57536364
1lpg,6,313,3,0,0,12,75,61,4,1,0,11,0,0,73,159,-9.795196986
1gz3,12,322,0,8,3,10,49,12,0,0,0,11,1,10,44,218,-5.111738906
1y2f,5,173,1,0,0,0,2,35,0,2,0,7,2,0,119,57,-6.797231195
1qin,15,332,2,10,0,0,13,35,0,0,0,14,5,14,207,113,-11.05240845
1lpk,13,326,5,0,0,12,91,39,0,1,1,11,0,0,33,203,-10.43071047
1meu,10,366,2,5,0,18,36,38,0,0,0,14,0,0,141,181,-8.42746144
1li2,2,141,1,0,9,0,0,23,0,0,0,1,0,131,0,3,-5.581466265
1kdk,5,195,2,2,0,17,5,29,0,0,0,1,0,0,119,59,-12.50303706
1li6,2,106,1,0,8,0,0,17,0,0,0,0,0,98,0,2,-5.249894012
1gz9,18,267,5,4,0,5,22,15,0,0,0,16,0,0,39,219,-4.849244206
1bv9,14,469,4,6,0,44,46,55,0,0,0,14,0,0,176,217,-12.37869746
1aj6,2,263,2,0,16,0,2,22,2,2,0,12,0,95,16,136,-8.17878225
1lpz,7,258,3,0,0,11,61,50,0,2,2,7,0,0,37,156,-10.49978802
1mrs,16,312,1,5,24,2,3,26,0,2,0,8,3,178,28,93,-5.470942181
1bv7,12,466,4,7,0,43,48,58,0,0,0,14,0,0,175,212,-12.84842482
1epo,17,333,6,2,0,2,58,31,0,0,0,17,0,11,118,161,-10.9971464
1qiw,5,234,2,0,23,0,4,44,0,0,2,19,1,188,16,8,-10.69320517
2f8g,11,334,3,4,0,22,47,24,0,0,0,14,0,0,115,161,-12.01949419
1os5,2,227,0,2,3,0,10,39,0,1,0,10,0,92,0,124,-9.463624732
1lf2,7,351,3,3,0,4,49,46,0,0,0,15,0,0,112,193,-10.38926394
2euk,10,398,4,4,6,0,1,67,0,0,0,45,0,313,0,88,-9.118236968
1lf9,21,343,5,5,0,0,39,34,0,0,0,22,1,69,53,203,-16.57861267
1vj9,18,357,6,2,0,32,85,21,0,0,0,17,0,0,66,192,-10.43071047
1v2j,9,171,3,0,0,28,42,18,0,0,0,2,0,0,43,67,-4.490040931
1wei,9,151,4,2,0,0,0,4,0,0,0,1,1,121,0,39,-12.4339595
2j79,14,204,3,3,0,0,0,13,0,0,0,6,0,0,102,116,-8.234044293
1nvr,4,278,2,1,0,17,23,32,0,0,0,4,1,2,168,72,-11.20437906
1cin,9,202,2,1,0,0,13,5,1,0,1,3,0,13,74,111,-12.06094072
1cim,12,192,4,1,0,0,31,4,0,0,0,3,0,5,53,115,-12.18528031
1cil,8,200,2,0,0,1,7,10,1,0,1,4,1,9,90,101,-13.02802646
1zpa,6,327,2,3,0,24,37,29,0,0,0,19,0,0,90,182,-11.60502887
1dif,13,457,6,2,0,21,63,49,1,0,0,21,0,0,129,257,-14.72733425
2h5a,18,236,1,9,4,6,17,6,0,0,0,5,1,18,99,110,-7.045910385
1y20,11,170,3,5,3,20,2,19,1,0,0,2,2,42,78,36,-7.349851617
2j75,14,176,6,3,0,0,0,10,2,0,0,5,2,0,66,124,-9.187314521
1gzc,10,185,3,2,0,5,11,11,0,0,0,12,0,0,34,145,-4.821613185
1qb1,11,272,4,2,0,12,74,35,0,0,2,10,0,0,28,169,-9.353100648
1n8v,2,145,1,0,8,0,6,18,0,0,0,12,0,107,0,26,-8.330752867
1oss,5,157,3,0,0,10,59,15,0,0,0,2,0,0,21,72,-6.617629557
1fq5,17,416,3,5,0,14,54,38,0,0,0,11,0,0,137,228,-11.60502887
1j01,11,217,2,4,0,0,0,15,0,0,0,6,0,0,58,170,-8.938635331
1ec9,16,295,3,7,0,8,19,7,0,0,0,8,6,17,119,148,-4.282808273
1we2,6,160,0,4,0,0,22,6,0,0,0,4,2,84,0,60,-6.023562603
1jmf,13,245,1,8,0,9,9,7,0,0,0,5,4,3,58,179,-7.971549592
1jmg,16,227,1,9,5,5,0,5,0,0,0,5,4,9,96,128,-8.386014909
1uxb,5,138,2,1,0,0,15,13,0,0,0,16,1,0,83,45,-2.97033477
1uxa,6,131,2,1,0,0,16,11,0,0,0,16,1,0,73,48,-3.177567428
1jmi,19,248,1,9,1,9,0,5,0,0,0,5,4,15,87,155,-8.372199398
1b6k,13,335,6,2,0,21,35,37,0,0,0,14,2,0,132,160,-12.07475623
1b6j,12,411,6,3,0,32,51,33,0,0,0,14,2,0,158,182,-10.94188436
1ugx,13,210,3,2,0,21,18,20,0,0,0,12,0,0,103,81,-8.16496674
1jzs,9,255,2,2,4,34,11,26,0,0,0,20,1,58,81,76,-9.118236968
1t7j,12,358,3,4,0,21,42,30,0,0,0,14,0,0,119,188,-12.01949419
1b6m,11,314,4,1,0,16,36,40,0,0,0,12,2,0,105,168,-11.60502887
1ofz,6,114,2,3,0,0,0,12,0,0,0,4,0,0,120,0,-6.382765878
2bt9,9,139,1,4,0,2,7,9,0,0,0,4,0,0,116,23,-8.551801035
1ct8,11,275,1,7,0,3,22,43,1,2,2,13,0,0,129,132,-9.007712884
1a4w,8,334,5,1,0,60,25,39,0,0,0,13,2,0,100,157,-8.17878225
1hih,9,314,5,2,0,13,56,25,0,0,0,16,2,0,78,176,-11.121486
2arm,4,153,1,1,2,0,30,20,1,0,0,6,0,61,0,64,-11.23201008
2bvd,14,224,8,4,0,0,0,18,0,0,0,10,2,0,106,132,-8.289306335
1a99,7,177,5,0,0,8,13,23,3,0,0,5,2,18,106,39,-7.874841018
1sgu,9,345,3,2,0,11,32,50,0,0,0,14,2,0,108,203,-7.41892917
2j34,3,198,0,2,0,39,25,41,0,0,0,5,0,0,68,69,-10.80372926
1msn,7,357,4,1,0,16,54,37,0,0,0,11,0,0,128,166,-12.5582991
1sgx,16,321,2,6,0,36,7,11,1,0,0,7,3,0,189,105,-8.012996124
2aac,10,157,2,3,0,0,17,17,0,0,0,4,0,0,131,19,-3.067043344
1h1h,20,234,0,12,1,5,12,3,0,0,0,8,4,87,42,107,-7.211696511
2j4i,1,228,1,2,0,41,34,47,0,0,0,10,0,0,68,86,-12.4339595
1e4h,0,119,0,0,0,0,0,7,0,0,0,1,0,0,119,0,-11.61884438
1efy,4,198,1,3,2,15,0,29,0,3,0,3,0,102,76,7,-11.35634968
1h1p,4,227,2,1,0,42,3,18,0,0,0,4,0,0,178,8,-6.797231195
1h1s,5,280,3,2,0,35,4,30,0,0,0,7,1,15,191,40,-11.35634968
1g46,8,203,3,1,0,0,19,23,0,0,0,5,0,10,47,135,-12.15764929
1gcz,5,236,1,1,0,17,10,37,0,0,1,4,0,0,98,116,-7.087356916
1xhy,14,184,0,9,10,12,7,23,0,0,0,4,3,63,59,47,-8.537985525
1c84,16,231,1,8,13,0,15,19,0,1,0,3,3,63,13,143,-6.907755279
1c86,17,218,0,11,10,1,6,17,0,1,0,3,2,52,15,151,-6.493289962
1d6v,4,236,2,2,0,9,0,63,1,2,0,8,0,0,176,55,-8.524170014
5er2,20,445,4,5,0,21,66,36,0,0,0,30,0,0,144,234,-9.076790437
1c83,18,237,1,12,10,1,7,22,0,0,0,3,2,55,15,167,-6.700522621
2ans,2,183,0,2,0,0,0,21,2,0,1,3,1,30,108,47,-8.17878225
1pfu,7,130,2,1,4,25,0,10,0,0,0,5,1,16,73,19,-3.757818872
1eix,20,360,2,12,0,12,11,15,0,0,0,7,2,27,143,187,-15.27995468
1tvo,7,277,3,2,0,26,2,29,0,0,0,3,0,4,228,24,-9.463624732
1pa9,10,195,0,5,9,0,10,10,0,0,0,4,1,35,6,145,-6.355134857
1o0n,10,215,1,6,0,28,0,6,0,0,0,6,4,44,118,35,-5.650543818
1o0o,13,191,0,7,0,11,0,6,1,2,0,8,5,50,73,70,-7.045910385
1z3t,15,224,4,4,0,0,14,11,0,0,0,12,0,0,37,188,-5.44331116
1z3v,18,236,4,6,0,0,14,13,0,0,0,12,0,0,35,205,-5.678174839
1o0f,15,232,3,9,0,7,0,15,1,1,0,8,5,45,124,71,-7.322220596
