ID,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1ezq,9,310,4,0,0,5,89,55,1,2,0,12,0,0,26,199,-12.50303706
1kmy,5,195,1,1,0,0,0,33,2,1,1,3,0,0,163,37,-7.045910385
2j47,14,228,6,2,0,0,13,24,0,0,2,7,0,0,50,179,-7.474191212
2a31,10,194,5,1,0,14,57,12,0,0,0,4,1,0,28,105,-1.395366566
1h6h,18,273,1,10,11,2,19,13,0,0,0,20,4,122,35,102,-7.322220596
1hi3,11,221,0,6,0,10,2,15,2,2,0,8,5,30,86,104,-5.788698924
2h6b,11,196,1,5,1,4,8,23,0,0,0,3,1,61,52,81,-7.446560191
2fxu,8,320,2,5,12,16,10,47,0,0,0,20,0,120,112,58,-11.2596411
2fxv,16,346,2,8,15,33,8,29,0,2,0,7,0,39,163,104,-7.391298149
1xzx,13,308,1,7,30,15,7,23,0,0,0,7,2,209,45,15,-14.11945179
2ff1,10,209,2,2,0,0,10,29,1,3,0,5,1,85,16,108,-11.34253417
1rd4,1,260,0,0,2,3,6,39,0,1,1,7,0,89,155,6,-10.69320517
1lee,5,316,2,3,0,13,29,35,0,0,0,15,0,0,147,132,-10.69320517
1j4r,3,236,0,2,0,0,23,41,0,0,0,16,0,11,78,127,-10.66557415
2hdr,3,96,1,1,0,0,16,7,0,0,1,3,1,0,27,56,-2.376267816
1zsr,13,385,7,4,0,37,38,39,0,0,0,22,3,0,161,162,-13.56683137
1sw2,3,90,0,3,0,4,0,22,4,0,0,2,3,14,40,35,-9.974798623
1afl,20,266,3,7,1,7,1,12,0,1,0,10,5,77,112,88,-8.67614063
1zsf,15,415,5,4,0,43,38,41,0,0,0,22,3,0,182,167,-13.70498647
7abp,18,198,4,4,0,0,1,14,0,0,0,4,0,64,3,148,-8.92481982
1afk,18,288,1,8,2,6,4,14,1,1,0,10,7,104,98,92,-9.145867989
1gvx,22,452,8,4,0,23,62,41,0,0,1,30,3,0,158,231,-9.974798623
1nc3,14,319,5,3,0,28,24,21,0,0,0,6,0,50,94,137,-6.907755279
1bzy,20,398,3,7,12,14,49,27,1,1,0,7,1,53,115,175,-11.52213581
2fx6,8,157,1,1,0,28,33,16,0,0,0,1,0,0,35,69,-5.111738906
1gvw,11,354,4,3,0,5,62,34,0,0,0,19,0,0,114,184,-9.615595348
1dud,13,207,1,11,18,28,0,10,0,0,0,7,2,50,105,19,-6.659076089
1c1v,15,304,5,0,0,26,64,23,0,0,0,7,0,0,49,180,-10.55505007
1c1u,10,282,3,0,0,16,73,34,0,0,0,4,0,0,33,170,-11.39779621
1c1r,12,268,5,0,0,18,77,29,0,0,0,4,0,0,34,151,-10.54123456
1bq4,31,268,0,17,1,0,11,6,1,0,0,6,13,148,73,66,-7.211696511
1bzh,19,305,1,12,15,2,22,20,0,1,0,16,4,65,21,199,-9.353100648
1r1j,10,226,2,5,1,10,0,33,1,0,1,9,2,111,28,86,-11.93660112
1r1h,11,291,2,4,3,15,0,33,2,0,2,10,6,163,39,82,-12.32343542
1bzc,21,309,1,11,14,2,25,34,0,2,0,8,2,63,17,209,-6.797231195
1af6,21,233,5,6,0,0,1,15,0,0,0,13,0,0,135,118,-2.514422922
3aid,1,77,0,1,0,15,11,15,0,0,0,12,0,0,9,43,-9.477440243
1rdt,7,271,0,5,11,2,3,43,0,0,0,3,1,223,14,25,-9.256392074
1dl7,5,155,0,2,0,0,16,35,4,1,0,7,1,0,44,100,-8.966266352
1drk,23,199,4,7,0,0,0,17,0,0,0,4,0,85,45,92,-9.422178201
1drj,21,211,4,7,0,0,0,17,0,0,0,4,0,86,50,96,-10.22347781
2bmz,10,141,2,4,0,31,13,9,0,0,0,10,0,0,78,29,-5.111738906
1bcd,9,162,0,1,0,3,10,4,0,0,0,2,0,0,105,53,-12.01949419
1jak,8,197,4,3,0,0,0,25,1,0,0,5,1,0,39,166,-7.695239381
1jao,8,210,2,3,3,3,36,30,1,1,0,8,0,56,32,88,-8.17878225
2j7d,17,213,4,4,0,0,0,15,0,1,0,8,0,1,118,111,-9.850459028
1rdi,7,78,0,2,0,2,6,3,0,0,0,4,0,0,41,36,-2.845995175
1u1w,12,224,1,7,10,6,20,16,0,0,0,3,2,39,84,77,-8.082073676
1rdj,7,71,0,1,0,2,6,4,0,0,0,4,0,0,43,27,-2.293374753
1rdl,7,75,1,1,0,3,6,4,0,0,0,6,0,0,41,32,-3.094674365
1rdn,5,87,1,0,0,4,6,6,0,0,0,6,0,0,45,37,-2.542053943
2c80,17,261,3,9,3,16,5,23,0,0,0,16,5,63,45,146,-7.363667127
3gst,18,342,4,7,5,18,11,39,0,0,1,13,3,88,91,147,-9.284023095
1e1x,6,257,2,1,0,12,22,16,0,0,0,6,0,6,193,30,-8.137335719
1d5r,21,202,1,10,9,2,27,1,0,0,0,5,3,88,14,83,-2.514422922
1wht,9,153,0,8,4,3,16,24,0,2,0,5,2,18,22,99,-5.111738906
1fwv,7,161,3,5,0,0,26,5,0,0,0,17,0,0,24,118,-5.139369928
1duv,27,400,7,12,15,0,36,11,0,0,0,10,4,169,51,156,-16.30230246
2aj8,4,186,1,3,6,1,0,30,0,1,1,3,2,36,0,147,-8.565616546
1xge,11,119,0,4,0,8,9,6,0,0,0,1,3,0,36,77,-6.465658941
1w8l,1,77,0,1,0,2,5,12,0,0,0,0,0,0,57,14,-0.676960017
1w8m,4,90,0,2,0,2,8,12,0,0,0,3,0,0,70,14,-2.210481689
2j7b,14,199,4,5,0,0,0,7,0,1,0,5,0,0,87,126,-9.145867989
1rql,5,108,0,4,0,5,11,12,0,0,0,1,3,12,25,60,-3.799265403
1xgi,9,192,0,5,6,40,5,13,0,0,2,5,0,54,31,65,-6.700522621
1tuf,6,140,0,4,0,0,12,15,0,0,0,8,3,36,0,98,-5.595281776
1d2e,21,345,2,12,34,2,26,17,1,0,0,9,1,168,30,106,-8.289306335
1fpc,8,289,3,1,0,30,35,44,0,0,0,10,1,0,84,148,-9.670857391
1w5v,11,481,5,3,0,17,57,49,0,0,0,17,0,0,139,279,-11.2596411
1kjr,14,262,5,4,0,2,0,15,1,0,0,14,0,0,266,8,-8.372199398
1z1r,11,347,5,2,0,16,46,22,1,0,0,11,0,0,122,174,-12.73790073
1ejn,9,295,5,3,0,49,73,19,0,0,0,4,1,0,65,117,-7.764316934
1mmr,14,237,3,2,7,8,39,22,0,0,0,8,2,57,72,68,-7.460375701
1oif,12,144,5,2,0,0,0,10,2,0,0,4,2,0,53,103,-10.66557415
1rzx,14,290,3,10,1,37,13,29,0,0,0,26,3,91,128,34,-5.664359329
1ps3,14,192,8,1,0,0,14,15,0,0,0,5,0,8,0,184,-3.149936407
1ur9,12,303,3,5,0,1,24,30,0,0,0,14,0,9,148,133,-7.971549592
6abp,13,195,3,4,0,0,0,9,0,0,0,4,0,69,9,130,-8.786664715
1lzq,14,411,4,5,0,43,52,48,1,0,0,21,0,0,129,201,-11.59121336
2b07,13,267,0,8,12,1,18,22,0,0,0,9,3,65,17,167,-8.883373289
1pzp,0,182,0,0,26,0,1,30,0,0,0,6,0,98,39,18,-4.572933995
1fiv,15,502,7,5,0,43,53,53,2,0,0,23,0,0,162,259,-9.104421458
1ohr,7,291,3,1,0,8,38,33,0,0,0,12,2,0,97,155,-12.01949419
1pzo,1,182,0,2,0,21,2,20,1,0,0,5,0,24,113,23,-4.586749505
1pzi,14,199,3,6,0,0,22,20,0,0,0,10,0,12,51,128,-5.830145456
1srg,10,237,0,6,0,2,22,37,0,0,1,4,0,0,156,67,-7.322220596
1qbq,9,175,0,6,0,0,0,17,0,0,0,9,4,88,26,70,-11.46687376
1sri,9,263,1,5,0,3,11,48,0,2,2,4,0,0,185,73,-8.399830419
1bhf,16,330,1,12,0,28,14,29,1,0,0,20,6,65,175,64,-6.051193624
1uj6,15,201,2,9,10,11,30,7,0,0,0,9,2,66,34,65,-4.21373072
1aaq,15,342,6,4,0,27,42,28,0,0,0,19,2,0,125,163,-11.60502887
1g2l,12,288,4,1,0,22,61,47,0,1,2,13,0,0,19,198,-10.00242964
1urg,12,204,4,3,0,0,0,16,0,0,0,12,0,24,23,169,-8.040627145
1g2k,7,398,2,3,0,15,46,39,0,0,0,13,0,0,138,206,-10.9971464
1syi,19,282,4,7,7,27,4,25,1,0,0,4,2,74,124,65,-7.515637744
1kav,15,264,0,9,11,1,23,31,0,1,0,7,1,51,15,178,-8.040627145
2hs2,9,325,4,5,0,22,50,21,0,0,0,14,0,0,98,164,-11.48068927
2hs1,11,329,3,4,0,28,39,25,0,0,0,14,0,0,113,160,-11.71555295
1v0k,10,173,2,3,0,0,0,7,1,0,0,7,2,0,59,124,-7.045910385
1o0m,12,224,1,8,0,30,0,7,0,0,0,6,4,48,125,33,-7.114987937
1imx,3,118,1,1,2,0,19,20,0,0,0,34,0,56,0,44,-4.863059716
1hlk,7,227,0,4,0,1,18,27,2,0,2,4,5,6,31,178,-6.907755279
2sim,16,247,4,8,0,0,5,12,0,0,0,9,3,0,114,144,-4.724904611
1yei,9,254,1,5,0,2,25,49,0,3,0,9,0,0,167,69,-10.30637088
1f4x,13,182,3,3,0,20,18,15,0,0,0,9,0,0,106,51,-7.722870402
2c1p,3,186,1,2,0,12,8,23,0,0,1,6,0,0,154,15,-7.460375701
2f1g,3,219,2,0,0,7,51,23,1,2,0,10,0,18,16,130,-10.41689496
2i0a,10,338,3,3,0,14,44,35,0,0,0,15,0,0,123,167,-15.74968204
2i0g,3,223,2,0,14,0,0,18,0,0,1,3,0,183,17,12,-13.42867626
1ua4,10,289,1,6,12,4,19,15,0,0,0,7,1,70,94,100,-5.830145456
1dhj,10,332,1,4,3,41,0,27,0,0,0,11,3,152,91,55,-9.049159416
2f81,12,357,4,5,0,21,51,31,0,0,0,14,0,0,114,183,-14.53391711
1vot,7,206,1,1,0,10,17,44,1,2,0,1,1,34,5,147,-9.118236968
1m7y,25,400,3,12,10,4,8,33,1,1,0,13,4,79,43,281,-15.14179957
2il2,8,391,3,3,0,13,44,36,1,0,0,13,2,0,190,152,-9.809012496
1gi9,12,214,5,0,0,12,56,16,0,0,0,5,0,0,28,130,-7.211696511
1rgk,13,197,2,8,0,0,13,10,1,2,0,7,3,0,79,118,-5.954485051
1rgl,14,206,1,7,0,0,19,13,1,3,0,7,3,0,86,115,-6.120271177
1hpo,3,266,2,4,0,21,21,28,0,0,0,7,0,0,74,153,-12.73790073
1gi1,9,239,4,0,0,8,71,26,0,0,0,4,0,0,24,145,-7.557084275
1y2g,0,130,0,0,0,0,2,24,0,2,0,3,0,0,120,8,-5.636728308
1gi7,6,178,3,0,0,2,72,19,0,0,0,4,0,0,6,104,-6.230795262
1gi6,14,226,3,1,0,14,61,22,0,0,0,4,0,0,29,136,-8.593247567
7upj,3,259,1,4,0,17,19,25,1,0,0,7,0,0,75,151,-11.72936846
1gi4,12,240,4,0,0,17,67,25,0,0,0,4,0,0,30,138,-9.933352091
1lkk,24,353,1,15,0,17,14,38,1,0,0,20,6,67,197,82,-9.463624732
1hpv,10,332,3,4,0,14,51,37,0,0,0,14,0,0,114,163,-12.73790073
1w3j,9,155,4,3,0,0,0,8,2,0,0,8,2,0,58,106,-8.731402673
1hps,11,347,4,3,0,14,55,38,0,0,0,18,0,0,86,203,-12.73790073
1qxk,19,346,3,11,11,0,14,38,0,1,0,17,1,131,1,208,-6.976832832
1lah,16,250,6,4,2,20,16,23,1,0,0,6,3,44,83,101,-10.38926394
1ksn,8,287,3,1,0,6,80,46,0,2,0,10,0,0,24,185,-12.98657992
1abf,14,198,4,4,0,0,1,13,0,0,0,4,0,60,4,147,-7.488006722
2br1,2,252,0,2,0,31,9,29,0,0,0,8,0,0,188,26,-7.101172427
1dqx,20,318,2,9,0,14,17,12,0,0,0,7,1,15,114,178,-15.26613917
1amw,12,225,1,5,7,0,13,7,0,0,0,9,2,85,45,87,-6.272241793
1li3,7,151,1,1,16,0,0,30,0,0,0,1,0,139,0,3,-5.871591987
1c5o,7,152,3,0,0,24,36,16,0,0,0,2,0,0,59,40,-4.821613185
1c5n,8,171,3,0,0,31,34,12,0,0,0,2,0,0,61,53,-6.493289962
1k1n,12,247,5,1,0,11,77,20,0,0,0,13,0,0,24,147,-9.422178201
1c5c,7,224,0,6,0,1,4,27,0,1,1,3,2,0,101,125,-9.615595348
1pvn,16,353,3,8,1,14,56,10,0,0,0,7,0,9,81,208,-13.56683137
1v2q,10,214,4,2,0,10,77,19,0,0,0,11,0,0,30,107,-5.70580586
1w96,6,263,1,1,12,8,5,38,0,0,0,6,0,174,51,19,-11.61884438
1izi,15,436,5,3,0,37,59,38,0,0,0,21,0,0,157,198,-9.104421458
1c5z,8,148,4,0,0,14,49,12,0,0,0,2,0,0,26,67,-5.540019734
1c5y,9,173,3,1,0,15,53,10,0,0,0,2,0,0,23,91,-5.802514434
1c5x,9,171,3,0,0,17,47,10,0,0,0,2,0,0,26,90,-9.228761053
2f8i,1,106,0,1,0,8,0,17,0,0,0,2,1,0,99,0,-10.03006067
1dqn,18,285,2,7,7,18,38,13,0,3,1,7,0,31,67,142,-11.05240845
2hb3,11,336,3,4,0,15,50,30,0,0,0,15,0,0,100,182,-15.68060448
1c5s,7,176,3,0,0,11,61,11,0,0,0,2,0,0,27,84,-8.289306335
1v2w,10,245,5,1,0,11,92,22,0,0,0,11,0,0,29,123,-5.540019734
1c5q,9,178,3,0,0,14,60,13,0,0,0,2,0,0,30,83,-8.786664715
1c5p,9,170,4,0,0,12,62,19,0,0,0,2,0,0,28,77,-6.465658941
1c5t,11,188,3,1,0,12,62,12,0,0,0,2,0,0,30,95,-5.664359329
1n4k,27,315,0,20,5,0,14,4,0,0,0,9,10,183,21,119,-13.88458811
1oba,0,44,0,0,0,0,5,15,4,0,0,3,0,0,38,1,-3.370984576
1bgq,8,244,2,1,27,3,0,28,0,0,0,2,0,119,77,26,-11.83989255
1v2t,9,235,5,1,0,11,85,18,0,0,0,11,0,0,28,120,-6.507105473
1tnh,8,125,3,0,0,3,49,13,0,0,0,2,1,0,13,68,-4.655827058
1ecv,13,210,0,11,10,1,6,22,0,1,0,3,2,51,15,140,-6.700522621
2cji,2,204,0,1,0,46,24,42,0,0,0,5,0,0,70,66,-11.35634968
1hyo,13,139,0,6,0,15,7,12,0,0,0,4,4,45,44,41,-5.622912797
1ecq,18,252,2,7,0,8,12,7,0,0,0,8,6,18,107,125,-4.144653167
1hp0,9,196,4,1,0,0,9,24,0,3,0,6,0,82,10,104,-9.256392074
1tnj,6,128,4,0,0,18,45,8,0,0,0,3,1,5,8,58,-2.707840069
1sdt,11,358,3,3,0,17,30,43,0,0,0,14,2,0,113,209,-12.80697829
1sdu,9,353,3,2,0,14,32,43,0,0,0,14,2,0,107,209,-13.91221913
1sdv,10,351,3,2,0,18,35,36,0,0,0,14,2,0,109,199,-12.07475623
9abp,18,223,5,5,0,0,2,9,0,0,0,6,0,85,14,140,-11.05240845
2gvj,2,277,0,1,0,6,11,61,0,2,0,8,0,18,132,112,-13.15236605
7hvp,20,486,9,5,0,61,47,38,0,0,0,28,2,0,209,189,-13.29052116
1q95,27,297,0,20,14,0,4,8,0,0,0,6,11,90,42,174,-10.45834149
1hbv,11,313,5,4,0,16,45,36,0,0,0,15,4,0,92,171,-8.800480225
1xkk,3,428,1,1,0,31,25,56,0,0,1,11,0,30,244,101,-11.770815
1ent,9,355,3,3,0,4,64,35,0,0,0,19,0,0,127,169,-9.615595348
1pyn,21,338,2,12,12,2,24,34,0,0,0,19,2,141,19,161,-7.584715296
1xka,9,261,3,2,0,7,74,38,1,0,0,10,1,20,23,146,-9.505071264
2gvv,6,140,1,3,0,0,2,11,0,0,0,5,0,0,38,106,-5.388049118
1zhy,1,176,2,0,2,0,1,23,0,0,0,6,0,30,61,83,-9.007712884
1g7g,25,361,2,11,11,0,18,40,0,0,0,19,5,68,14,275,-9.118236968
1h9z,1,209,0,0,1,0,12,35,0,0,1,5,0,160,0,37,-7.488006722
1nl9,17,286,2,11,13,1,17,29,0,2,0,12,1,94,12,166,-8.234044293
1xpz,7,205,2,1,0,1,19,17,1,0,1,7,1,18,66,108,-9.781381475
1zp8,10,348,4,3,0,28,37,36,0,0,0,17,0,0,112,181,-12.11620276
1n5r,4,160,0,1,0,0,33,43,0,5,0,9,0,1,0,130,-7.819578976
1g7v,18,340,0,13,0,2,33,10,0,0,0,16,5,26,58,239,-8.841926757
1w3l,22,271,6,6,0,0,22,20,2,0,0,20,2,0,116,155,-8.67614063
1mai,21,251,0,13,0,0,14,5,0,0,0,9,7,0,175,83,-9.228761053
1uv6,0,145,1,0,0,17,10,27,4,0,0,4,0,0,58,60,-7.073541406
1apv,17,276,6,2,0,4,52,17,0,0,0,16,0,1,91,145,-12.4339595
1xk9,3,177,1,2,0,26,1,41,0,3,0,3,0,0,73,80,-9.463624732
1s63,2,81,0,1,0,0,0,17,1,0,4,5,0,75,5,3,-12.50303706
2pcp,0,110,0,0,0,2,12,38,2,0,4,2,0,0,72,24,-12.01949419
2avv,8,336,2,1,0,13,45,39,0,0,0,14,2,0,94,192,-12.79316278
2avq,26,467,8,5,0,54,57,40,0,0,0,30,2,0,183,199,-6.065009135
1y3n,20,288,3,6,6,0,0,16,0,0,0,9,2,127,143,32,-7.66760836
2avs,8,383,4,4,0,20,30,49,0,0,0,14,2,0,114,227,-10.45834149
1kel,10,234,0,9,0,0,8,44,1,2,0,10,4,0,167,69,-10.05769169
4tmk,28,613,2,16,36,3,35,46,0,1,0,20,10,387,73,107,-10.63794313
1v2k,0,235,0,0,0,44,31,58,0,1,1,4,0,0,67,93,-8.551801035
2avo,6,350,4,2,0,19,25,44,0,0,0,14,2,0,103,209,-12.22672684
1y3p,35,484,4,14,9,2,2,20,0,0,0,19,5,175,141,190,-6.659076089
1nz7,23,322,2,16,13,1,23,26,0,1,0,19,3,125,11,172,-9.836643517
1o2o,13,264,5,0,0,17,67,24,0,0,0,7,0,0,38,155,-8.786664715
1qpb,4,80,1,1,0,0,11,4,0,0,0,1,0,25,0,48,-1.878909436
1xk5,13,319,2,7,0,41,5,21,1,3,0,18,2,0,211,75,-8.289306335
2gv7,17,352,8,2,0,12,113,25,0,0,0,12,1,0,27,217,-10.84517579
1g85,3,77,0,0,0,3,0,6,0,0,0,6,0,0,70,7,-7.570899786
1iiq,15,437,6,3,0,38,47,43,0,0,0,22,2,0,180,187,-10.3340019
2avm,24,458,7,5,0,49,62,27,0,0,0,30,2,0,171,200,-7.874841018
1hpx,4,313,2,1,0,9,54,30,0,0,0,15,0,0,85,169,-15.55626489
2c4v,21,215,1,11,0,6,15,8,0,0,0,6,7,0,56,159,-3.592032745
2aoe,16,442,9,4,0,44,64,35,0,0,0,30,4,0,147,203,-10.52741905
1fl3,2,245,0,1,0,0,28,56,0,2,1,7,0,0,126,93,-9.394547179
1v2n,12,306,5,1,0,41,59,36,0,1,1,6,0,0,111,107,-8.151151229
5tmp,23,659,1,16,33,7,34,38,0,1,0,20,11,456,64,88,-10.32018639
1i7z,1,183,0,1,0,2,15,32,1,0,0,5,0,0,88,79,-8.841926757
1apb,14,207,3,4,0,0,0,15,0,0,0,4,0,70,1,150,-8.040627145
1f0s,2,200,1,0,0,50,19,37,0,2,2,5,0,0,83,50,-10.69320517
1v2l,6,156,3,0,0,9,55,13,0,0,0,2,0,0,34,64,-5.926854029
1nli,8,182,3,3,1,14,18,19,0,2,0,1,0,88,62,7,-4.95976829
1f0t,13,254,5,2,0,13,83,28,0,2,0,8,0,0,27,144,-8.289306335
1aj7,8,228,0,7,0,2,20,27,1,1,0,8,3,0,173,41,-5.346602586
1b55,34,369,0,15,0,6,12,3,0,0,0,10,8,0,227,158,-10.22347781
1r0x,18,277,1,11,30,2,36,7,0,0,0,11,5,152,13,62,-5.291340544
1cnx,11,225,3,2,10,0,11,11,0,0,0,12,1,63,59,93,-10.18203128
1cny,6,225,3,0,1,1,13,13,1,0,1,16,1,45,76,95,-10.84517579
2fgi,6,346,1,2,0,24,10,45,1,0,0,13,1,25,246,47,-10.14058475
1cnw,7,212,3,1,0,0,20,12,0,0,0,14,0,24,48,127,-10.66557415
1r0p,5,286,1,2,0,21,16,39,0,0,0,5,0,0,171,83,-11.05240845
1ai7,4,118,0,0,0,15,0,22,0,0,0,1,0,21,54,32,-5.650543818
2eum,19,323,3,4,3,0,0,29,0,0,0,38,1,249,0,90,-9.256392074
1byk,28,380,5,11,8,10,10,11,0,0,0,13,1,130,106,144,-6.907755279
2fgu,11,391,3,2,0,16,44,39,0,0,0,14,2,0,129,213,-12.68263869
2cf9,7,256,3,1,0,44,33,45,0,0,0,8,0,0,87,99,-10.80372926
2cf8,7,263,3,1,0,47,31,42,0,0,0,7,0,0,90,102,-11.19056355
1sr7,5,302,0,1,23,0,2,44,0,0,0,6,0,260,0,22,-13.95366566
1uto,5,134,1,0,0,7,40,13,0,0,0,3,1,0,16,76,-3.136120897
1nq7,5,197,0,4,3,1,9,27,0,0,0,6,2,131,9,49,-9.394547179
1sh9,11,343,3,2,0,22,44,35,0,0,0,19,0,0,111,177,-8.330752867
1q1g,8,266,2,1,0,35,4,22,0,0,1,5,2,18,87,130,-11.83989255
1thz,8,278,1,6,7,0,8,29,0,1,0,6,3,86,11,174,-7.114987937
1q84,13,376,2,5,1,4,32,86,0,11,2,14,0,59,6,287,-15.26613917
1gny,9,215,4,3,0,1,17,15,0,0,0,20,0,0,91,115,-5.719621371
2ihq,3,249,1,1,21,0,1,33,0,0,1,2,0,205,0,25,-11.72936846
1p28,4,69,0,1,0,0,0,5,0,0,0,2,0,69,0,4,-7.488006722
2gv6,14,258,4,2,0,48,52,25,0,0,0,11,0,0,61,111,-10.14058475
1t4v,7,270,3,0,0,42,43,37,0,1,2,10,1,0,84,108,-10.61031211
1udt,3,249,1,1,10,0,2,39,0,2,1,7,0,186,0,54,-12.84842482
1z95,6,339,2,1,35,0,0,30,0,0,0,7,0,282,0,28,-5.94066954
4std,3,251,0,1,4,0,0,39,0,0,2,4,0,98,109,43,-14.27142241
1pkx,21,388,4,15,35,21,48,11,0,0,0,6,2,68,36,201,-9.560333306
1gnn,19,387,7,5,0,32,49,23,0,0,0,20,0,0,144,181,-7.847209997
1gno,20,384,7,6,0,30,54,23,0,0,0,20,0,0,142,178,-10.63794313
1gnm,18,376,8,4,0,28,43,22,0,0,0,20,1,0,153,170,-8.634694099
1q65,8,269,4,0,0,14,15,33,0,2,0,7,1,93,103,52,-7.543268765
1q66,8,326,6,1,0,10,33,46,0,2,0,6,0,98,127,66,-7.971549592
1jyq,32,469,3,17,0,32,41,34,2,1,0,20,4,88,193,147,-12.01949419
1ogx,9,141,1,1,1,0,0,12,0,0,0,1,0,45,104,0,-8.41364593
1q63,12,295,4,2,0,10,20,25,0,1,0,5,0,0,140,137,-8.082073676
1rle,16,325,2,6,0,37,4,12,0,0,0,12,7,0,216,84,-8.012996124
1vwn,10,333,1,8,0,4,3,50,0,1,1,10,0,0,256,80,-8.040627145
1bhx,14,286,5,1,0,56,43,33,0,0,2,9,1,0,90,111,-9.449809222
2jxr,11,362,5,2,0,3,45,35,0,0,0,17,0,0,130,195,-9.739934943
2a5b,10,242,3,3,0,0,0,16,0,2,0,5,0,0,193,59,-5.429495649
2a5c,8,220,3,4,0,0,18,18,0,1,1,5,0,0,138,72,-6.382765878
1fzq,17,332,2,10,32,5,25,12,0,0,0,9,1,89,26,172,-10.52741905
1aid,2,194,1,0,0,2,4,27,0,0,0,7,2,0,123,67,-6.659076089
1e2k,10,261,4,3,0,0,2,39,0,1,0,4,0,172,28,69,-6.824862216
1egh,16,181,0,11,9,8,12,3,0,0,0,3,5,89,51,28,-7.874841018
1h0a,30,270,0,13,8,0,7,1,0,0,0,9,9,200,0,85,-7.515637744
1q8w,3,201,1,1,0,15,5,26,0,0,0,2,2,0,148,36,-7.239327532
1q8u,3,219,3,1,0,13,14,25,0,0,0,2,2,0,140,55,-8.234044293
1hxb,10,383,4,1,0,22,49,41,0,0,0,14,2,0,127,195,-13.70498647
1onz,18,249,0,12,12,1,14,18,1,1,0,5,1,85,13,142,-7.045910385
1dzk,0,88,0,0,0,8,0,13,0,0,0,3,0,0,71,9,-8.42746144
1ony,24,311,2,11,13,1,19,28,0,0,0,16,2,102,12,188,-9.353100648
1w4p,13,197,1,9,0,25,0,3,0,0,0,5,4,55,104,26,-6.548552005
1w4q,14,213,1,11,0,35,0,7,0,0,0,5,4,54,110,28,-7.266958554
1nfw,3,202,0,2,0,30,26,42,0,2,2,5,0,2,55,92,-12.37869746
2j7g,16,211,5,6,0,7,0,17,0,1,0,7,0,0,115,105,-9.670857391
1nfu,9,286,2,0,0,45,44,55,0,1,0,7,0,0,95,111,-10.69320517
1lbf,22,378,4,12,0,15,26,21,0,0,0,12,3,5,187,167,-10.84517579
4rsk,12,178,1,6,0,27,0,5,0,0,0,6,3,46,96,21,-5.968300561
1fhd,14,230,2,5,0,0,1,12,0,1,2,7,0,0,50,193,-9.422178201
1z6e,6,309,2,3,0,47,41,55,1,3,1,8,0,0,85,142,-13.42867626
1nfx,2,211,0,1,0,35,21,45,0,3,1,7,0,0,62,95,-11.770815
1z6s,15,241,3,6,0,9,0,15,1,1,0,7,4,45,121,81,-5.995931582
1wcq,15,257,3,6,0,0,0,14,1,0,0,11,5,0,195,77,-8.648509609
1g4o,8,211,3,1,0,0,19,25,0,0,0,5,0,10,53,137,-11.39779621
1g4j,7,218,3,1,0,0,18,14,0,0,0,5,0,15,54,138,-12.01949419
1bp0,16,226,2,9,3,8,0,2,0,0,0,5,3,24,103,104,-7.460375701
2bal,5,238,2,1,0,27,0,16,0,0,0,6,0,11,204,1,-8.717587162
1n1t,20,255,4,9,0,0,0,12,0,0,0,9,3,0,124,151,-5.318971565
1m9n,21,398,4,13,33,24,48,12,1,0,0,6,2,68,40,206,-9.560333306
1uz8,12,240,4,6,0,0,38,21,0,0,0,16,0,0,102,112,-6.852493237
1f3e,17,237,3,1,0,12,16,35,0,2,0,2,0,74,101,51,-9.256392074
4fiv,14,476,6,4,0,44,42,47,2,0,0,21,0,0,144,260,-9.007712884
1uz4,12,180,4,4,0,0,0,18,0,0,0,4,0,0,51,141,-4.69727359
1nh0,12,469,5,6,0,35,57,36,0,0,0,23,1,0,166,223,-13.45630728
1mes,10,356,2,4,0,14,49,36,0,0,0,14,0,0,99,204,-10.63794313
1g3b,15,273,4,0,0,19,82,26,0,0,0,6,2,0,34,153,-7.93010306
