ID,Lig_Strain_Energy,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other
1f8d,9.006913798,-10.83967637,-2.730765703,-15.42374469,-19.05566119,0,30.38312461,-31.55318309,22,331,14,1,5,0,1.98,1.7,0,0,0,9,4,0,54.96,41.36
1igj,4.698064111,-17.22444622,3.91271523,-0.46724499,-68.87849973,0,24.9055912,-49.92149695,15,458,26,1,0,0,0,5.92,0,0,0,7,0,0,58.56,35.52
1jyq,15.26117034,-275.0567737,5.86327423,-26.00855279,-25.9214911,-3.796596949,243.19628,-42.16067232,35,639,33,3,17,0,8.01,6.53,2,1,0,20,4,17.66,41.1,26.71
1lbk,5.380256452,5.273823763,2.081697754,-4.973701992,-14.89413825,0,-15.52616676,-36.16051908,17,349,10,3,8,0.82,2.19,6.83,0,0,0,11,4,14.75,19.67,55.74
1lor,6.975032647,-10.39252871,5.306641328,-10.96070732,-13.46899708,-1E-011,12.75611601,-34.04075492,23,354,10,3,8,0,2.92,2.65,0,0,0,7,1,0,44.83,49.6
1o5b,2.957883147,-190.7560573,2.029661226,-2.174108032,-26.72972921,-0.14821676,192.5667814,-32.83391884,8,212,9,3,0,0,8.64,25.91,0,0,0,2,0,0,13.64,51.82
1os0,7.786409524,50.13889546,1.794034452,-2.86105909,-35.54531218,-3.518921406,-25.25181326,-50.17469544,15,430,20,2,3,1.12,4.72,2.25,1,0,2,13,6,24.49,30.34,37.08
1oyt,6.579352625,-215.577344,2.355447792,-6.898073554,-41.59013192,-0.438617935,239.4985451,-55.72465633,18,433,33,3,0,0,5.1,18.4,0,0,0,5,0,0,9.53,66.96
1q8u,2.179227019,19.28882572,0.544291798,-1.054824552,-42.29048218,-0.001093371,-8.343155095,-48.71407302,18,424,28,1,1,0,6.11,4.3,0,0,0,2,1,0,56.11,33.48
1sln,12.7737734,-99.43805821,4.526535956,-2.21517094,-38.88666973,-1.4545117,116.2012936,-56.99116133,21,465,28,3,3,2.67,4.32,18.52,0,1,1,14,5,22.84,18.72,32.92
1w3l,11.30142378,-46.92632958,1.661819739,-6.739499682,-29.0309988,0,47.68758614,-39.33123498,31,471,23,5,5,0,0,5.98,2,0,0,20,2,0,42.43,51.59
1w4o,5.535982078,-118.4699101,1.467370965,-14.47145823,-8.035823882,-0.0000277,98.49488399,-33.18872919,15,278,9,2,7,0,13.31,2.39,0,0,0,6,4,19.11,48.46,16.72
1xd0,26.86536119,-36.36926921,3.867978931,-5.937640682,-52.35576535,0,83.10654829,-73.11918635,42,641,14,6,4,0,0.15,6.15,0,0,0,28,0,0,18.3,75.4
2cbj,9.038610584,-26.48052479,1.874046029,-4.172766689,-27.60729297,-1.559776196,42.19853968,-54.44082647,20,465,23,5,3,2.68,0,3.71,0,0,0,8,0,6.39,26.8,60.41
2d3u,2.941080542,-66.93561893,-0.603984798,-2.128614325,-42.30646025,-3.295957643,65.84016588,-46.17601635,15,366,33,0,2,3.41,0,5.77,0,2,0,5,0,61.68,0,29.13
2fvd,3.128222354,4.26068023,0.403737652,-1.849337973,-31.40879579,-0.312320453,-3.183574528,-54.19272394,15,462,24,2,1,0,2.73,12.16,0,0,0,7,0,6.92,56.39,21.8
2hb1,3.063129636,-117.7768403,1.75752352,-10.89054458,-22.58398338,-0.393864056,110.533363,-31.18038962,15,233,13,0,8,4.84,0.4,8.06,0,0,0,4,2,24.6,5.24,56.85
2iwx,2.984822303,-28.2386234,1.032542626,-2.038649345,-38.87715312,-0.049517136,21.92272206,-47.59826121,16,356,20,1,2,9.14,0,0,0,0,0,2,0,54.03,28.76,8.06
2jdu,2.73436507,-22.20036295,0.490889142,-2.294142562,-7.405817774,0,42.93450207,-18.54892737,9,186,6,1,2,0,2.56,18.46,0,0,0,4,0,0,0.51,78.46
2obf,10.30148097,-68.82963406,-2.163235008,-2.37678541,-46.28236247,-2.055397435,69.69022129,-56.76365503,13,474,45,2,0,3.08,0,3.49,1,1,0,5,2,32.65,20.94,39.84
2pq9,9.868342867,-189.300931,3.83404366,-41.42194523,-16.92282886,0,203.5909251,-28.35841629,40,537,16,0,24,3.47,0,1.04,0,0,0,10,11,62.22,0,33.28
2pww,16.54137506,-145.2422611,2.71061193,-3.756932093,-66.51975629,-0.107016601,154.259278,-78.08023646,32,709,43,6,1,0,1.48,10.66,0,0,1,14,2,0,45.21,42.65
2qmj,15.46878107,-176.3026254,6.5615982,-7.401022931,-45.04052961,0,168.2257933,-47.60281596,36,472,17,8,3,0,0,0.79,0,0,0,22,3,0,32.09,67.13
2v7a,2.678826931,-31.26581048,0.203829097,-1.278145971,-43.65628528,-0.0001432,26.67830166,-59.81117185,22,522,34,1,3,0,6.8,13.79,0,0,0,6,1,0.74,60.85,17.83
2vl4,4.929768714,-70.14104719,2.629688749,-6.120933576,-17.36476722,0,28.06335716,-22.0926992,17,289,18,6,2,0,0,0,2,0,0,5,2,6.86,42.48,50.65
2w66,13.79876325,-78.72282247,4.476431476,-4.568585771,-23.39333917,0,72.41232271,-32.65868859,16,414,25,5,2,0,0,3.95,0,0,0,6,2,0,33.26,62.79
2wbg,8.62273056,-57.06427936,5.746768136,-2.943823283,-35.89396578,0,46.78363536,-39.19734547,21,419,27,2,4,0,1.82,0,0,0,0,11,0,0.45,61.82,35.91
2weg,0.45352559,12.75938528,0.428616657,-1.660555519,-9.61809739,-0.192272952,-18.14899517,-22.02229097,12,178,5,2,1,0,0.53,10,0,0,0,2,0,3.16,44.21,42.11
2x8z,4.122680988,395.7860142,1.570511573,-5.470461508,-15.57100298,0,-340.6182209,-26.04281751,14,152,6,0,5,0,1.2,0,0,0,0,3,3,48.19,7.83,42.77
2xb8,6.692812452,-44.43568805,-0.443254995,-5.799307909,-37.92140357,-2.516986447,34.86038665,-45.61911378,27,467,39,4,6,0,0.61,14.37,0,1,0,7,0,0,12.15,72.87
2xy9,13.80301972,51.55791871,5.616386485,-7.583467363,-39.92810407,-2.364040723,44.01862495,-58.3626317,33,531,29,5,5,1.42,4.43,0,0,2,0,16,9,59.57,23.05,11.52
2y5h,7.374437974,-161.2160358,6.211934459,-0.40399709,-61.73649243,-0.0000242,199.5643401,-69.44484104,8,461,43,0,1,0,7.89,11.94,2,0,0,6,0,10.66,23.67,45.84
2yki,6.109243684,-45.70409902,2.5503474,-1.80549294,-55.80629561,-2.756524433,27.42437488,-66.68681352,19,549,49,2,3,9.86,0.53,0.18,0,2,2,3,0,53.87,33.63,1.94
2ymd,6.089962046,-176.5148309,5.834069942,-1.114506557,-36.70618019,-0.255752243,193.1209764,-28.08373344,20,359,27,5,1,0,8.18,7.12,4,0,1,4,0,0,39.31,45.38
2zcr,6.172730045,118.8479096,5.640831192,-4.254617689,-49.39519797,-0.273970979,-64.42476564,-55.22775284,26,494,32,0,5,7.5,0,0,0,0,0,10,6,85.19,0,7.31
2zjw,2.511585438,-23.87099447,3.579825121,-1.085936053,-33.77388687,-0.53004342,21.17300705,-41.33888985,8,264,20,1,3,0,2.57,5.15,0,0,0,4,0,0,86.03,6.25
2zx6,11.46083948,-94.75454781,2.624492456,-3.547687698,-34.13599903,-4.91330126,84.17030631,-46.83067732,16,474,30,3,2,0,0.2,1.84,1,0,0,7,2,4.49,37.76,55.71
3b3s,-0.440681964,4.873650811,-1.30411288,-2.606790802,-16.50062799,0,33.62435274,-24.80955607,11,200,14,2,0,0,0,5.69,0,0,0,4,0,0,13.27,81.04
3bfu,1.277298598,-37.66956786,1.283790606,-4.65566266,-24.75228336,-0.10795397,19.0417456,-33.32025177,12,288,15,3,6,1.33,6,1.33,1,0,0,4,2,26.33,33.33,31.67
3bpc,11.11745734,-96.40728807,0.229936989,-13.38376369,-12.12665189,0,92.40379927,-23.18542503,24,273,7,3,10,0,0,6.4,0,0,0,15,2,0,64.98,28.62
3cft,0.603014868,-8.363849927,0.157894001,-2.384816063,-10.28089143,0,12.71127296,-18.61412128,8,182,15,0,1,0,16.84,0,0,0,0,2,1,0,83.16,0
3cyx,12.57346384,-9.084421906,3.383186296,-4.641724871,-80.03034351,-0.095363544,13.47001849,-91.0621845,46,875,54,3,2,0,6.84,9.66,0,0,0,14,2,0,38.44,45.06
3d4z,4.189194941,0.452803163,0.206902502,-4.494397415,-17.59326298,-1.397145168,-20.04056731,-25.54448173,16,263,14,6,1,0,0,5.38,0,1,0,5,0,0,5.02,89.61
3ebp,9.843394046,-7.544825639,5.935496622,-0.487400397,-42.06003301,-7.020372633,14.68882701,-49.49714902,8,324,55,2,0,2.71,0,8.13,0,4,0,5,1,21.39,0,67.77
3ehy,2.845911138,80.18100196,0.057805137,-0.501335969,-19.73281018,-0.504190465,-53.89737813,-34.84391136,12,263,13,0,2,2.91,6.55,9.82,2,1,0,5,5,34.91,17.09,28.73
3f3e,1.757384748,-13.18018766,1.23849731,-1.495137561,-23.9756047,0,35.32014906,-23.30193079,16,294,12,4,2,21.29,0,5.81,0,0,0,4,0,65.16,0,7.74
3f80,1.657617862,4.936896553,0.069035645,-2.253536952,-12.53094227,0,33.86593344,-25.86297133,12,228,11,1,3,0,0,8.33,0,0,0,7,2,5,0.42,86.25
3fv1,4.705770072,-45.31054083,1.56880987,-7.548870828,-38.49029859,0,15.02009458,-34.79051479,34,524,26,5,9,2.87,5.2,1.61,0,0,0,7,4,19.89,45.34,25.09
3g0w,4.151538922,-24.31317086,1.058937532,-0.975472368,-65.74276007,-0.467468639,19.75354099,-55.75195646,24,412,19,1,1,7.11,0,0.23,0,0,1,3,0,83.49,0,9.17
3g2z,1.328409064,-23.32087297,1.572074502,-0.869212101,-8.08291862,-0.679687858,15.06323754,-25.22783772,9,155,10,1,1,0,10.37,1.22,0,0,0,1,0,13.41,26.83,48.17
3gcs,3.364698258,-17.07243767,0.284018481,-2.341902805,-49.49052286,-0.316358165,20.73124718,-64.57836368,12,533,47,3,1,0,4.04,4.77,1,0,0,6,0,24.95,45.32,20.92
3ge7,3.607016514,-31.68542617,3.635198444,-8.430225174,-41.72249834,-6.423931515,32.46424675,-59.59861962,24,509,37,5,1,0,3.94,6.19,0,2,0,7,2,24.2,47.65,18.01
3gy4,3.944873226,-208.4752325,3.309939908,-8.102958077,-12.20929937,-0.707228108,198.3946611,-20.66774351,15,253,17,5,1,0,5.22,33.21,0,0,0,3,0,0,14.18,47.39
3i3b,3.909565988,-16.24522471,-0.498393301,-1.547846312,-15.4263786,0,65.01891205,-26.6850522,12,256,12,1,1,0,0,0.37,0,0,0,5,0,0,26.49,73.13
3imc,0.8576174,-7.380179928,0.605038887,-0.437731563,-19.3610688,-0.775211273,4.805913503,-29.27068193,17,278,21,0,1,4.75,3.05,13.22,1,0,1,1,0,23.05,11.86,44.07
3jvs,7.385524618,-14.53854573,1.506125839,-0.521002039,-30.70621831,-0.150815958,7.466937026,-41.31997816,12,388,32,2,0,0.25,0,26,0,0,0,5,0,5.5,0,68.25
3myg,4.929039936,-24.24795273,1.750790982,-2.880071433,-40.01484486,-0.000488901,25.29859442,-54.9462566,11,461,28,2,2,0,5.51,9.53,0,0,0,9,0,4.03,59.75,21.19
3nox,3.747649157,-112.8640656,2.858906888,-2.292615076,-37.04570497,-2.651960282,111.1377269,-40.9610622,13,293,14,3,0,2.29,0.65,0,2,1,1,4,3,37.91,18.3,40.85
3nw9,14.03364738,-47.16071249,3.013362057,-4.813273677,-50.90219308,-2.766997016,65.10244058,-75.46549156,23,634,39,3,4,0,1.52,12.02,0,0,4,10,0,7.91,11.87,66.67
3su3,11.87552021,-12.5022052,0.979716782,-1.400072861,-56.1723343,-2.011679597,6.777767425,-74.24240133,19,622,33,2,3,0,6.86,11.08,0,0,0,7,0,0,39.78,42.28
3u9q,3.515783697,-0.285653601,3.029404323,-3.323307772,-43.01222139,0,2.101689842,-35.17122391,20,355,21,0,4,6.67,0,3.2,0,0,0,8,2,70.13,0,20
3udh,2.078030356,-107.9359659,1.949565427,-2.312043211,-20.59792198,-0.853455074,95.62831434,-24.82934337,10,226,20,3,0,0,0.42,13.56,1,1,0,0,2,0,58.9,27.12
3uex,2.364997699,78.49472234,1.880223442,-4.523927664,-81.07073834,0,-60.44049763,-46.29147229,28,545,35,0,1,0,0,1.4,0,0,0,16,2,0,90.05,8.55
3zsx,8.696020387,-46.38015005,0.972972346,-3.959974433,-30.01924435,-0.65118855,43.66477328,-42.81556938,23,358,25,1,4,6.04,0,13.65,0,0,0,10,1,58.27,0,22.05
